id,area,name,type,type2,Lat,Lon,totalcar
200,中正區,台北車站東區地下停車場,1,2,25.047687186233286,121.51768736244834,258
201,中山區,花博公園圓山停車場,1,2,25.068984973817777,121.52244960729395,102
202,文山區,捷運木柵站轉乘停車場,1,2,24.99859795378964,121.57326611897372,146
203,大安區,臺灣大學辛亥臨時停車場,1,2,25.020800102372057,121.54268512575761,415
204,內湖區,台北花卉產銷股份有限公司A館,1,2,25.062997712001618,121.57416785402886,461
205,內湖區,台北花卉產銷股份有限公司B館,1,2,25.063038159175886,121.5751005671378,73
206,中山區,第一殯儀館停車場,1,2,25.06282617854208,121.53638570824091,130
207,士林區,台北市立天文科學教育館地下及戶外平面停車場,1,2,25.09582865277781,121.51836503712907,299
208,文山區,博嘉運動公園停車場,1,2,25.001013261672945,121.57557479364165,35
209,大安區,應安168復興SOGO停車場,1,1,25.040408678051527,121.54334413264125,48
210,中正區,Ｋ區地下街停車場,1,2,25.046903786560105,121.51746348754345,188
211,中山區,中山北路2段42巷臨時平面停車場,1,2,25.054553717242875,121.52123748917703,21
212,大安區,辛亥路高架橋下平面停車場,1,2,25.014105672244874,121.55309976608895,160
214,中正區,應安168台北資訊園區停車場,1,2,25.04529276113896,121.53081083919609,444
215,萬華區,莒光立體停車場,1,1,25.03107393254428,121.50342259405532,123
216,中山區,中山運動中心旁平面停車場,1,2,25.055268921639826,121.52152029314132,52
217,中正區,兩廳院地下停車場,1,2,25.036416420097325,121.5184136057206,681
218,內湖區,內湖垃圾焚化廠停車場,1,2,25.06276533397897,121.60451110826438,87
219,中山區,台壽金融總部大樓停車場,1,2,25.05481594011332,121.52227761920804,147
220,南港區,南港公園平面停車場,1,2,25.04600427900924,121.59137840672187,82
221,南港區,南港經貿園區R16平面停車場,1,2,25.05622608440837,121.61049433792193,89
222,南港區,南港59號公園臨時平面停車場,1,2,25.047607745388373,121.61359382182737,21
223,士林區,東和平面停車場,1,2,25.120293281011513,121.53328651862527,39
224,北投區,復興平面停車場,1,2,25.140755603882067,121.50463456687052,67
225,北投區,開勝平面停車場,1,2,25.140774233661123,121.50507552647247,34
226,文山區,樟新平面停車場,1,2,24.979625325495626,121.55680269931082,45
227,文山區,政大三街臨時平面停車場,1,2,24.98613064413084,121.58243889322503,49
228,文山區,木柵路三段平面停車場,1,2,24.988404754815353,121.56629327767183,47
229,大安區,嘉興公園地下停車場,1,1,25.021463786502874,121.55204423867293,195
230,大安區,應安１６８延吉停車場,1,2,25.03524189236323,121.55531656322204,29
231,士林區,應安１６８士林一停車場,1,2,25.11148054806289,121.53237380535921,67
232,中山區,建國北路高架橋下O區,1,1,25.04689312943823,121.5367014425772,143
233,中山區,建國北路高架橋下A區,1,1,25.04922497878688,121.5367543091125,171
234,中山區,建國北路高架橋下B區,1,1,25.049894009233103,121.53676525980684,377
235,中山區,建國北路高架橋下C區,1,1,25.053400025349838,121.5368492106088,133
236,中山區,建國北路高架橋下D區,1,1,25.054199863854,121.53686241732092,120
